,movie,year,imdb,metascore,votes,n_imdb
2435,Man of Steel,2013,7.0,55,668776,70.0
2436,12 Years a Slave,2013,8.1,96,608528,81.0
2437,The Hunger Games: Catching Fire,2013,7.5,76,593306,75.0
2438,The Hobbit: The Desolation of Smaug,2013,7.8,66,582878,78.0
2439,World War Z,2013,7.0,63,578819,70.0
2440,Now You See Me,2013,7.3,50,574010,73.0
2441,Thor: The Dark World,2013,6.9,54,569893,69.0
2442,Prisoners,2013,8.1,71,561956,81.0
2443,Frozen,2013,7.5,75,550478,75.0
2444,Her,2013,8.0,90,506504,80.0
2445,Oblivion,2013,7.0,54,469563,70.0
2446,The Great Gatsby,2013,7.2,55,455356,72.0
2447,Pacific Rim,2013,6.9,65,454761,69.0
2448,Star Trek Into Darkness,2013,7.7,72,454231,77.0
2449,American Hustle,2013,7.2,90,433285,72.0
2450,The Conjuring,2013,7.5,68,420762,75.0
2451,Dallas Buyers Club,2013,8.0,81,420574,80.0
2452,The Wolverine,2013,6.7,61,416081,67.0
2453,Rush,2013,8.1,74,412723,81.0
2454,Elysium,2013,6.6,61,408247,66.0
2455,Captain Phillips,2013,7.8,82,403653,78.0
2456,We're the Millers,2013,7.0,44,387117,70.0
2457,This Is the End,2013,6.6,67,372668,66.0
2458,Fast & Furious 6,2013,7.1,61,357508,71.0
2459,Despicable Me 2,2013,7.3,62,357344,73.0
2460,Monsters University,2013,7.3,65,307316,73.0
2461,The Secret Life of Walter Mitty,2013,7.3,54,284036,73.0
2462,The Hangover Part III,2013,5.8,30,282667,58.0
2463,About Time,2013,7.8,55,282015,78.0
2464,Snowpiercer,2013,7.1,84,276583,71.0
2465,Lone Survivor,2013,7.5,60,256636,75.0
2466,The World's End,2013,7.0,81,248154,70.0
2467,Olympus Has Fallen,2013,6.5,41,248141,65.0
2468,Kick-Ass 2,2013,6.5,41,247513,65.0
2469,Don Jon,2013,6.5,66,222814,65.0
2470,Escape Plan,2013,6.7,49,220109,67.0
2471,Ender's Game,2013,6.6,51,217290,66.0
2472,The Lone Ranger,2013,6.4,37,214959,64.0
2473,Warm Bodies,2013,6.9,60,213734,69.0
2474,Gangster Squad,2013,6.7,40,201165,67.0
2475,White House Down,2013,6.4,52,199404,64.0
2476,The Wolf of Wall Street,2013,8.2,75,1103722,82.0
2477,Gravity,2013,7.7,96,741440,77.0
2478,Iron Man 3,2013,7.2,62,725980,72.0
2479,Man of Steel,2013,7.0,55,668781,70.0
2480,12 Years a Slave,2013,8.1,96,608528,81.0
2481,The Hunger Games: Catching Fire,2013,7.5,76,593306,75.0
2482,The Hobbit: The Desolation of Smaug,2013,7.8,66,582878,78.0
2483,World War Z,2013,7.0,63,578819,70.0
2484,Now You See Me,2013,7.3,50,574010,73.0
2485,Thor: The Dark World,2013,6.9,54,569893,69.0
2486,Prisoners,2013,8.1,71,561956,81.0
2487,Frozen,2013,7.5,75,550487,75.0
2488,Her,2013,8.0,90,506504,80.0
2489,Oblivion,2013,7.0,54,469563,70.0
2490,The Great Gatsby,2013,7.2,55,455356,72.0
2491,Pacific Rim,2013,6.9,65,454761,69.0
2492,Star Trek Into Darkness,2013,7.7,72,454231,77.0
2493,American Hustle,2013,7.2,90,433285,72.0
2494,The Conjuring,2013,7.5,68,420762,75.0
2495,Dallas Buyers Club,2013,8.0,81,420574,80.0
2496,The Wolverine,2013,6.7,61,416081,67.0
2497,Rush,2013,8.1,74,412723,81.0
2498,Elysium,2013,6.6,61,408244,66.0
2499,Captain Phillips,2013,7.8,82,403653,78.0
2500,We're the Millers,2013,7.0,44,387117,70.0
2501,This Is the End,2013,6.6,67,372668,66.0
2502,Fast & Furious 6,2013,7.1,61,357508,71.0
2503,Despicable Me 2,2013,7.3,62,357337,73.0
2504,Monsters University,2013,7.3,65,307316,73.0
2505,The Secret Life of Walter Mitty,2013,7.3,54,284036,73.0
2506,The Hangover Part III,2013,5.8,30,282667,58.0
2507,About Time,2013,7.8,55,282015,78.0
2508,Snowpiercer,2013,7.1,84,276583,71.0
2509,Lone Survivor,2013,7.5,60,256636,75.0
2510,The World's End,2013,7.0,81,248154,70.0
2511,Olympus Has Fallen,2013,6.5,41,248141,65.0
2512,Kick-Ass 2,2013,6.5,41,247513,65.0
2513,Don Jon,2013,6.5,66,222814,65.0
2514,Escape Plan,2013,6.7,49,220109,67.0
2515,Ender's Game,2013,6.6,51,217290,66.0
2516,The Lone Ranger,2013,6.4,37,214959,64.0
2517,Warm Bodies,2013,6.9,60,213734,69.0
2518,Gangster Squad,2013,6.7,40,201165,67.0
2519,White House Down,2013,6.4,52,199404,64.0
2520,The Wolf of Wall Street,2013,8.2,75,1103722,82.0
2521,Gravity,2013,7.7,96,741440,77.0
2522,Iron Man 3,2013,7.2,62,725980,72.0
2523,Man of Steel,2013,7.0,55,668781,70.0
2524,12 Years a Slave,2013,8.1,96,608528,81.0
2525,The Hunger Games: Catching Fire,2013,7.5,76,593297,75.0
2526,The Hobbit: The Desolation of Smaug,2013,7.8,66,582878,78.0
2527,World War Z,2013,7.0,63,578819,70.0
2528,Now You See Me,2013,7.3,50,574010,73.0
2529,Thor: The Dark World,2013,6.9,54,569893,69.0
2530,Prisoners,2013,8.1,71,561956,81.0
2531,Frozen,2013,7.5,75,550487,75.0
2532,Her,2013,8.0,90,506504,80.0
2533,Oblivion,2013,7.0,54,469563,70.0
2534,The Great Gatsby,2013,7.2,55,455356,72.0
2535,Pacific Rim,2013,6.9,65,454761,69.0
2536,Star Trek Into Darkness,2013,7.7,72,454231,77.0
2537,American Hustle,2013,7.2,90,433285,72.0
2538,The Conjuring,2013,7.5,68,420762,75.0
2539,Dallas Buyers Club,2013,8.0,81,420574,80.0
2540,The Wolverine,2013,6.7,61,416081,67.0
2541,Rush,2013,8.1,74,412723,81.0
2542,Elysium,2013,6.6,61,408247,66.0
2543,Captain Phillips,2013,7.8,82,403653,78.0
2544,We're the Millers,2013,7.0,44,387117,70.0
2545,This Is the End,2013,6.6,67,372668,66.0
2546,Fast & Furious 6,2013,7.1,61,357508,71.0
2547,Despicable Me 2,2013,7.3,62,357344,73.0
2548,Monsters University,2013,7.3,65,307316,73.0
2549,The Secret Life of Walter Mitty,2013,7.3,54,284036,73.0
2550,The Hangover Part III,2013,5.8,30,282667,58.0
2551,About Time,2013,7.8,55,282015,78.0
2552,Snowpiercer,2013,7.1,84,276583,71.0
2553,Lone Survivor,2013,7.5,60,256636,75.0
2554,The World's End,2013,7.0,81,248154,70.0
2555,Olympus Has Fallen,2013,6.5,41,248141,65.0
2556,Kick-Ass 2,2013,6.5,41,247513,65.0
2557,Don Jon,2013,6.5,66,222814,65.0
2558,Escape Plan,2013,6.7,49,220109,67.0
2559,Ender's Game,2013,6.6,51,217290,66.0
2560,The Lone Ranger,2013,6.4,37,214959,64.0
2561,Warm Bodies,2013,6.9,60,213734,69.0
2562,Gangster Squad,2013,6.7,40,201165,67.0
2563,White House Down,2013,6.4,52,199404,64.0
2564,Interstellar,2014,8.6,74,1395367,86.0
2565,Guardians of the Galaxy,2014,8.0,76,1004826,80.0
2566,Gone Girl,2014,8.1,79,808521,81.0
2567,Captain America: The Winter Soldier,2014,7.7,70,703915,77.0
2568,The Grand Budapest Hotel,2014,8.1,88,669271,81.0
2569,Whiplash,2014,8.5,88,667030,85.0
2570,The Imitation Game,2014,8.0,73,650771,80.0
2571,X-Men: Days of Future Past,2014,8.0,75,641583,80.0
2572,Edge of Tomorrow,2014,7.9,71,573317,79.0
2573,Kingsman: The Secret Service,2014,7.7,60,568651,77.0
2574,Birdman or (The Unexpected Virtue of Ignorance),2014,7.7,87,551623,77.0
2575,John Wick,2014,7.4,68,502709,74.0
2576,The Hobbit: The Battle of the Five Armies,2014,7.4,59,456104,74.0
2577,Ex Machina,2014,7.7,78,448952,77.0
2578,Nightcrawler,2014,7.9,76,434152,79.0
2579,Lucy,2014,6.4,61,423422,64.0
2580,American Sniper,2014,7.3,72,420038,73.0
2581,Divergent,2014,6.7,48,412171,67.0
2582,Fury,2014,7.6,64,404687,76.0
2583,The Amazing Spider-Man 2,2014,6.6,53,403150,66.0
2584,The Maze Runner,2014,6.8,57,401575,68.0
2585,Dawn of the Planet of the Apes,2014,7.6,79,401286,76.0
2586,The Hunger Games: Mockingjay - Part 1,2014,6.6,64,395767,66.0
2587,Big Hero 6,2014,7.8,74,392169,78.0
2588,The Theory of Everything,2014,7.7,72,380721,77.0
2589,Godzilla,2014,6.4,62,365183,64.0
2590,22 Jump Street,2014,7.0,71,333066,70.0
2591,The Fault in Our Stars,2014,7.7,69,329357,77.0
2592,Maleficent,2014,7.0,56,329299,70.0
2593,Boyhood,2014,7.9,100,325583,79.0
2594,The Equalizer,2014,7.2,57,317314,72.0
2595,The Lego Movie,2014,7.7,83,314958,77.0
2596,The Interview,2014,6.5,52,296206,65.0
2597,How to Train Your Dragon 2,2014,7.8,76,292718,78.0
2598,Transformers: Age of Extinction,2014,5.6,32,291135,56.0
2599,Neighbors,2014,6.3,68,275940,63.0
2600,300: Rise of an Empire,2014,6.2,48,272414,62.0
2601,Non-Stop,2014,6.9,56,242513,69.0
2602,Predestination,2014,7.5,69,238042,75.0
2603,Noah,2014,5.8,68,236206,58.0
2604,RoboCop,2014,6.1,52,211067,61.0
2605,Transcendence,2014,6.3,42,210424,63.0
2606,It Follows,2014,6.8,83,197070,68.0
2607,Teenage Mutant Ninja Turtles,2014,5.8,31,196234,58.0
2608,The Babadook,2014,6.8,86,185110,68.0
2609,Interstellar,2014,8.6,74,1395367,86.0
2610,Guardians of the Galaxy,2014,8.0,76,1004826,80.0
2611,Gone Girl,2014,8.1,79,808553,81.0
2612,Captain America: The Winter Soldier,2014,7.7,70,703915,77.0
2613,The Grand Budapest Hotel,2014,8.1,88,669271,81.0
2614,Whiplash,2014,8.5,88,667057,85.0
2615,The Imitation Game,2014,8.0,73,650771,80.0
2616,X-Men: Days of Future Past,2014,8.0,75,641583,80.0
2617,Edge of Tomorrow,2014,7.9,71,573317,79.0
2618,Kingsman: The Secret Service,2014,7.7,60,568651,77.0
2619,Birdman or (The Unexpected Virtue of Ignorance),2014,7.7,87,551623,77.0
2620,John Wick,2014,7.4,68,502709,74.0
2621,The Hobbit: The Battle of the Five Armies,2014,7.4,59,456104,74.0
2622,Ex Machina,2014,7.7,78,448952,77.0
2623,Nightcrawler,2014,7.9,76,434134,79.0
2624,Lucy,2014,6.4,61,423422,64.0
2625,American Sniper,2014,7.3,72,420038,73.0
2626,Divergent,2014,6.7,48,412171,67.0
2627,Fury,2014,7.6,64,404687,76.0
2628,The Amazing Spider-Man 2,2014,6.6,53,403150,66.0
2629,The Maze Runner,2014,6.8,57,401575,68.0
2630,Dawn of the Planet of the Apes,2014,7.6,79,401286,76.0
2631,The Hunger Games: Mockingjay - Part 1,2014,6.6,64,395767,66.0
2632,Big Hero 6,2014,7.8,74,392169,78.0
2633,The Theory of Everything,2014,7.7,72,380721,77.0
2634,Godzilla,2014,6.4,62,365183,64.0
2635,22 Jump Street,2014,7.0,71,333066,70.0
2636,The Fault in Our Stars,2014,7.7,69,329357,77.0
2637,Maleficent,2014,7.0,56,329299,70.0
2638,Boyhood,2014,7.9,100,325583,79.0
2639,The Equalizer,2014,7.2,57,317314,72.0
2640,The Lego Movie,2014,7.7,83,314958,77.0
2641,The Interview,2014,6.5,52,296206,65.0
2642,How to Train Your Dragon 2,2014,7.8,76,292718,78.0
2643,Transformers: Age of Extinction,2014,5.6,32,291135,56.0
2644,Neighbors,2014,6.3,68,275940,63.0
2645,300: Rise of an Empire,2014,6.2,48,272414,62.0
2646,Non-Stop,2014,6.9,56,242513,69.0
2647,Predestination,2014,7.5,69,238042,75.0
2648,Noah,2014,5.8,68,236206,58.0
2649,RoboCop,2014,6.1,52,211067,61.0
2650,Transcendence,2014,6.3,42,210424,63.0
2651,It Follows,2014,6.8,83,197070,68.0
2652,Teenage Mutant Ninja Turtles,2014,5.8,31,196234,58.0
2653,The Babadook,2014,6.8,86,185110,68.0
2654,Interstellar,2014,8.6,74,1395367,86.0
2655,Guardians of the Galaxy,2014,8.0,76,1004826,80.0
2656,Gone Girl,2014,8.1,79,808521,81.0
2657,Captain America: The Winter Soldier,2014,7.7,70,703915,77.0
2658,The Grand Budapest Hotel,2014,8.1,88,669271,81.0
2659,Whiplash,2014,8.5,88,667057,85.0
2660,The Imitation Game,2014,8.0,73,650771,80.0
2661,X-Men: Days of Future Past,2014,8.0,75,641583,80.0
2662,Edge of Tomorrow,2014,7.9,71,573317,79.0
2663,Kingsman: The Secret Service,2014,7.7,60,568651,77.0
2664,Birdman or (The Unexpected Virtue of Ignorance),2014,7.7,87,551623,77.0
2665,John Wick,2014,7.4,68,502709,74.0
2666,The Hobbit: The Battle of the Five Armies,2014,7.4,59,456104,74.0
2667,Ex Machina,2014,7.7,78,448952,77.0
2668,Nightcrawler,2014,7.9,76,434152,79.0
2669,Lucy,2014,6.4,61,423422,64.0
2670,American Sniper,2014,7.3,72,420038,73.0
2671,Divergent,2014,6.7,48,412171,67.0
2672,Fury,2014,7.6,64,404687,76.0
2673,The Amazing Spider-Man 2,2014,6.6,53,403150,66.0
2674,The Maze Runner,2014,6.8,57,401575,68.0
2675,Dawn of the Planet of the Apes,2014,7.6,79,401286,76.0
2676,The Hunger Games: Mockingjay - Part 1,2014,6.6,64,395767,66.0
2677,Big Hero 6,2014,7.8,74,392169,78.0
2678,The Theory of Everything,2014,7.7,72,380721,77.0
2679,Godzilla,2014,6.4,62,365183,64.0
2680,22 Jump Street,2014,7.0,71,333066,70.0
2681,The Fault in Our Stars,2014,7.7,69,329357,77.0
2682,Maleficent,2014,7.0,56,329299,70.0
2683,Boyhood,2014,7.9,100,325583,79.0
2684,The Equalizer,2014,7.2,57,317314,72.0
2685,The Lego Movie,2014,7.7,83,314958,77.0
2686,The Interview,2014,6.5,52,296206,65.0
2687,How to Train Your Dragon 2,2014,7.8,76,292718,78.0
2688,Transformers: Age of Extinction,2014,5.6,32,291135,56.0
2689,Neighbors,2014,6.3,68,275940,63.0
2690,300: Rise of an Empire,2014,6.2,48,272414,62.0
2691,Non-Stop,2014,6.9,56,242513,69.0
2692,Predestination,2014,7.5,69,238042,75.0
2693,Noah,2014,5.8,68,236206,58.0
2694,RoboCop,2014,6.1,52,211067,61.0
2695,Transcendence,2014,6.3,42,210424,63.0
2696,It Follows,2014,6.8,83,197070,68.0
2697,Teenage Mutant Ninja Turtles,2014,5.8,31,196234,58.0
2698,The Babadook,2014,6.8,86,185110,68.0
2699,Interstellar,2014,8.6,74,1395367,86.0
2700,Guardians of the Galaxy,2014,8.0,76,1004826,80.0
2701,Gone Girl,2014,8.1,79,808553,81.0
2702,Captain America: The Winter Soldier,2014,7.7,70,703915,77.0
2703,The Grand Budapest Hotel,2014,8.1,88,669271,81.0
2704,Whiplash,2014,8.5,88,667030,85.0
2705,The Imitation Game,2014,8.0,73,650771,80.0
2706,X-Men: Days of Future Past,2014,8.0,75,641583,80.0
2707,Edge of Tomorrow,2014,7.9,71,573317,79.0
2708,Kingsman: The Secret Service,2014,7.7,60,568651,77.0
2709,Birdman or (The Unexpected Virtue of Ignorance),2014,7.7,87,551623,77.0
2710,John Wick,2014,7.4,68,502709,74.0
2711,The Hobbit: The Battle of the Five Armies,2014,7.4,59,456104,74.0
2712,Ex Machina,2014,7.7,78,448952,77.0
2713,Nightcrawler,2014,7.9,76,434152,79.0
2714,Lucy,2014,6.4,61,423422,64.0
2715,American Sniper,2014,7.3,72,420038,73.0
2716,Divergent,2014,6.7,48,412171,67.0
2717,Fury,2014,7.6,64,404687,76.0
2718,The Amazing Spider-Man 2,2014,6.6,53,403150,66.0
2719,The Maze Runner,2014,6.8,57,401575,68.0
2720,Dawn of the Planet of the Apes,2014,7.6,79,401286,76.0
2721,The Hunger Games: Mockingjay - Part 1,2014,6.6,64,395767,66.0
2722,Big Hero 6,2014,7.8,74,392169,78.0
2723,The Theory of Everything,2014,7.7,72,380721,77.0
2724,Godzilla,2014,6.4,62,365183,64.0
2725,22 Jump Street,2014,7.0,71,333066,70.0
2726,The Fault in Our Stars,2014,7.7,69,329357,77.0
2727,Maleficent,2014,7.0,56,329299,70.0
2728,Boyhood,2014,7.9,100,325583,79.0
2729,The Equalizer,2014,7.2,57,317314,72.0
2730,The Lego Movie,2014,7.7,83,314958,77.0
2731,The Interview,2014,6.5,52,296206,65.0
2732,How to Train Your Dragon 2,2014,7.8,76,292718,78.0
2733,Transformers: Age of Extinction,2014,5.6,32,291135,56.0
2734,Neighbors,2014,6.3,68,275940,63.0
2735,300: Rise of an Empire,2014,6.2,48,272414,62.0
2736,Non-Stop,2014,6.9,56,242513,69.0
2737,Predestination,2014,7.5,69,238042,75.0
2738,Noah,2014,5.8,68,236206,58.0
2739,RoboCop,2014,6.1,52,211067,61.0
2740,Transcendence,2014,6.3,42,210424,63.0
2741,It Follows,2014,6.8,83,197070,68.0
2742,Teenage Mutant Ninja Turtles,2014,5.8,31,196234,58.0
2743,The Babadook,2014,6.8,86,185110,68.0
2744,Star Wars: Episode VII - The Force Awakens,2015,7.9,80,831777,79.0
2745,Mad Max: Fury Road,2015,8.1,90,829777,81.0
2746,The Martian,2015,8.0,80,721876,80.0
2747,Avengers: Age of Ultron,2015,7.3,66,705955,73.0
2748,The Revenant,2015,8.0,76,665950,80.0
2749,Inside Out,2015,8.2,94,574836,82.0
2750,Jurassic World,2015,7.0,59,559351,70.0
2751,Ant-Man,2015,7.3,64,538953,73.0
2752,The Hateful Eight,2015,7.8,68,482727,78.0
2753,Spotlight,2015,8.1,93,392657,81.0
2754,Spectre,2015,6.8,60,369157,68.0
2755,Sicario,2015,7.6,82,349600,76.0
2756,Furious 7,2015,7.2,67,347036,72.0
2757,Room,2015,8.1,86,343073,81.0
2758,The Big Short,2015,7.8,81,335393,78.0
2759,Mission: Impossible - Rogue Nation,2015,7.4,75,327151,74.0
2760,Fifty Shades of Grey,2015,4.1,46,288513,41.0
2761,Bridge of Spies,2015,7.6,81,274931,76.0
2762,The Hunger Games: Mockingjay - Part 2,2015,6.5,65,268924,65.0
2763,The Man from U.N.C.L.E.,2015,7.3,56,254356,73.0
2764,Terminator Genisys,2015,6.4,38,250187,64.0
2765,Creed,2015,7.6,82,236869,76.0
2766,Spy,2015,7.0,75,222016,70.0
2767,Chappie,2015,6.8,41,221642,68.0
2768,Maze Runner: The Scorch Trials,2015,6.3,43,210998,63.0
2769,Southpaw,2015,7.4,57,208714,74.0
2770,Insurgent,2015,6.2,42,208577,62.0
2771,The Intern,2015,7.1,51,204662,71.0
2772,Focus,2015,6.6,56,203946,66.0
2773,Minions,2015,6.4,56,203520,64.0
2774,San Andreas,2015,6.0,43,202369,60.0
2775,The Lobster,2015,7.2,82,200936,72.0
2776,Everest,2015,7.1,64,188894,71.0
2777,The Witch,2015,6.9,83,179204,69.0
2778,Ted 2,2015,6.3,48,175822,63.0
2779,Jupiter Ascending,2015,5.3,40,172719,53.0
2780,Straight Outta Compton,2015,7.9,72,172389,79.0
2781,Tomorrowland,2015,6.4,60,166705,64.0
2782,Black Mass,2015,6.9,68,161569,69.0
2783,The Danish Girl,2015,7.1,66,155582,71.0
2784,Cinderella,2015,6.9,67,151720,69.0
2785,Legend,2015,6.9,55,148623,69.0
2786,The Age of Adaline,2015,7.2,51,146778,72.0
2787,Steve Jobs,2015,7.2,82,146226,72.0
2788,Star Wars: Episode VII - The Force Awakens,2015,7.9,80,831777,79.0
2789,Mad Max: Fury Road,2015,8.1,90,829777,81.0
2790,The Martian,2015,8.0,80,721876,80.0
2791,Avengers: Age of Ultron,2015,7.3,66,705955,73.0
2792,The Revenant,2015,8.0,76,665950,80.0
2793,Inside Out,2015,8.2,94,574836,82.0
2794,Jurassic World,2015,7.0,59,559351,70.0
2795,Ant-Man,2015,7.3,64,538953,73.0
2796,The Hateful Eight,2015,7.8,68,482727,78.0
2797,Spotlight,2015,8.1,93,392657,81.0
2798,Spectre,2015,6.8,60,369157,68.0
2799,Sicario,2015,7.6,82,349600,76.0
2800,Furious 7,2015,7.2,67,347036,72.0
2801,Room,2015,8.1,86,343073,81.0
2802,The Big Short,2015,7.8,81,335393,78.0
2803,Mission: Impossible - Rogue Nation,2015,7.4,75,327151,74.0
2804,Fifty Shades of Grey,2015,4.1,46,288513,41.0
2805,Bridge of Spies,2015,7.6,81,274931,76.0
2806,The Hunger Games: Mockingjay - Part 2,2015,6.5,65,268924,65.0
2807,The Man from U.N.C.L.E.,2015,7.3,56,254356,73.0
2808,Terminator Genisys,2015,6.4,38,250187,64.0
2809,Creed,2015,7.6,82,236869,76.0
2810,Spy,2015,7.0,75,222016,70.0
2811,Chappie,2015,6.8,41,221642,68.0
2812,Maze Runner: The Scorch Trials,2015,6.3,43,210998,63.0
2813,Southpaw,2015,7.4,57,208714,74.0
2814,Insurgent,2015,6.2,42,208577,62.0
2815,The Intern,2015,7.1,51,204662,71.0
2816,Focus,2015,6.6,56,203946,66.0
2817,Minions,2015,6.4,56,203520,64.0
2818,San Andreas,2015,6.0,43,202369,60.0
2819,The Lobster,2015,7.2,82,200936,72.0
2820,Everest,2015,7.1,64,188894,71.0
2821,The Witch,2015,6.9,83,179204,69.0
2822,Ted 2,2015,6.3,48,175822,63.0
2823,Jupiter Ascending,2015,5.3,40,172719,53.0
2824,Straight Outta Compton,2015,7.9,72,172389,79.0
2825,Tomorrowland,2015,6.4,60,166705,64.0
2826,Black Mass,2015,6.9,68,161569,69.0
2827,The Danish Girl,2015,7.1,66,155585,71.0
2828,Cinderella,2015,6.9,67,151720,69.0
2829,Legend,2015,6.9,55,148623,69.0
2830,The Age of Adaline,2015,7.2,51,146778,72.0
2831,Steve Jobs,2015,7.2,82,146226,72.0
2832,Star Wars: Episode VII - The Force Awakens,2015,7.9,80,831777,79.0
2833,Mad Max: Fury Road,2015,8.1,90,829777,81.0
2834,The Martian,2015,8.0,80,721876,80.0
2835,Avengers: Age of Ultron,2015,7.3,66,705939,73.0
2836,The Revenant,2015,8.0,76,665950,80.0
2837,Inside Out,2015,8.2,94,574836,82.0
2838,Jurassic World,2015,7.0,59,559351,70.0
2839,Ant-Man,2015,7.3,64,538953,73.0
2840,The Hateful Eight,2015,7.8,68,482727,78.0
2841,Spotlight,2015,8.1,93,392672,81.0
2842,Spectre,2015,6.8,60,369157,68.0
2843,Sicario,2015,7.6,82,349600,76.0
2844,Furious 7,2015,7.2,67,347036,72.0
2845,Room,2015,8.1,86,343073,81.0
2846,The Big Short,2015,7.8,81,335393,78.0
2847,Mission: Impossible - Rogue Nation,2015,7.4,75,327151,74.0
2848,Fifty Shades of Grey,2015,4.1,46,288513,41.0
2849,Bridge of Spies,2015,7.6,81,274931,76.0
2850,The Hunger Games: Mockingjay - Part 2,2015,6.5,65,268924,65.0
2851,The Man from U.N.C.L.E.,2015,7.3,56,254356,73.0
2852,Terminator Genisys,2015,6.4,38,250187,64.0
2853,Creed,2015,7.6,82,236869,76.0
2854,Spy,2015,7.0,75,222016,70.0
2855,Chappie,2015,6.8,41,221642,68.0
2856,Maze Runner: The Scorch Trials,2015,6.3,43,210998,63.0
2857,Southpaw,2015,7.4,57,208714,74.0
2858,Insurgent,2015,6.2,42,208577,62.0
2859,The Intern,2015,7.1,51,204662,71.0
2860,Focus,2015,6.6,56,203946,66.0
2861,Minions,2015,6.4,56,203520,64.0
2862,San Andreas,2015,6.0,43,202369,60.0
2863,The Lobster,2015,7.2,82,200936,72.0
2864,Everest,2015,7.1,64,188894,71.0
2865,The Witch,2015,6.9,83,179204,69.0
2866,Ted 2,2015,6.3,48,175822,63.0
2867,Jupiter Ascending,2015,5.3,40,172719,53.0
2868,Straight Outta Compton,2015,7.9,72,172389,79.0
2869,Tomorrowland,2015,6.4,60,166705,64.0
2870,Black Mass,2015,6.9,68,161569,69.0
2871,The Danish Girl,2015,7.1,66,155585,71.0
2872,Cinderella,2015,6.9,67,151720,69.0
2873,Legend,2015,6.9,55,148623,69.0
2874,The Age of Adaline,2015,7.2,51,146778,72.0
2875,Steve Jobs,2015,7.2,82,146226,72.0
2876,Star Wars: Episode VII - The Force Awakens,2015,7.9,80,831777,79.0
2877,Mad Max: Fury Road,2015,8.1,90,829777,81.0
2878,The Martian,2015,8.0,80,721876,80.0
2879,Avengers: Age of Ultron,2015,7.3,66,705955,73.0
2880,The Revenant,2015,8.0,76,665950,80.0
2881,Inside Out,2015,8.2,94,574836,82.0
2882,Jurassic World,2015,7.0,59,559351,70.0
2883,Ant-Man,2015,7.3,64,538953,73.0
2884,The Hateful Eight,2015,7.8,68,482727,78.0
2885,Spotlight,2015,8.1,93,392672,81.0
2886,Spectre,2015,6.8,60,369157,68.0
2887,Sicario,2015,7.6,82,349600,76.0
2888,Furious 7,2015,7.2,67,347036,72.0
2889,Room,2015,8.1,86,343073,81.0
2890,The Big Short,2015,7.8,81,335393,78.0
2891,Mission: Impossible - Rogue Nation,2015,7.4,75,327151,74.0
2892,Fifty Shades of Grey,2015,4.1,46,288513,41.0
2893,Bridge of Spies,2015,7.6,81,274931,76.0
2894,The Hunger Games: Mockingjay - Part 2,2015,6.5,65,268924,65.0
2895,The Man from U.N.C.L.E.,2015,7.3,56,254356,73.0
2896,Terminator Genisys,2015,6.4,38,250187,64.0
2897,Creed,2015,7.6,82,236869,76.0
2898,Spy,2015,7.0,75,222016,70.0
2899,Chappie,2015,6.8,41,221642,68.0
2900,Maze Runner: The Scorch Trials,2015,6.3,43,210998,63.0
2901,Southpaw,2015,7.4,57,208714,74.0
2902,Insurgent,2015,6.2,42,208577,62.0
2903,The Intern,2015,7.1,51,204662,71.0
2904,Focus,2015,6.6,56,203946,66.0
2905,Minions,2015,6.4,56,203520,64.0
2906,San Andreas,2015,6.0,43,202369,60.0
2907,The Lobster,2015,7.2,82,200936,72.0
2908,Everest,2015,7.1,64,188894,71.0
2909,The Witch,2015,6.9,83,179204,69.0
2910,Ted 2,2015,6.3,48,175822,63.0
2911,Jupiter Ascending,2015,5.3,40,172719,53.0
2912,Straight Outta Compton,2015,7.9,72,172389,79.0
2913,Tomorrowland,2015,6.4,60,166705,64.0
2914,Black Mass,2015,6.9,68,161569,69.0
2915,The Danish Girl,2015,7.1,66,155585,71.0
2916,Cinderella,2015,6.9,67,151720,69.0
2917,Legend,2015,6.9,55,148623,69.0
2918,The Age of Adaline,2015,7.2,51,146778,72.0
2919,Steve Jobs,2015,7.2,82,146226,72.0
2920,Deadpool,2016,8.0,65,865253,80.0
2921,Captain America: Civil War,2016,7.8,75,627108,78.0
2922,Batman v Superman: Dawn of Justice,2016,6.5,44,600877,65.0
2923,Suicide Squad,2016,6.0,40,572685,60.0
2924,Doctor Strange,2016,7.5,72,560997,75.0
2925,Arrival,2016,7.9,81,556747,79.0
2926,Rogue One: A Star Wars Story,2016,7.8,65,524421,78.0
2927,La La Land,2016,8.0,94,471289,80.0
2928,Zootopia,2016,8.0,78,409298,80.0
2929,Hacksaw Ridge,2016,8.1,71,401459,81.0
2930,Split,2016,7.3,62,396427,73.0
2931,Fantastic Beasts and Where to Find Them,2016,7.3,66,388435,73.0
2932,X-Men: Apocalypse,2016,6.9,52,376821,69.0
2933,Passengers,2016,7.0,41,330573,70.0
2934,10 Cloverfield Lane,2016,7.2,76,276266,72.0
2935,The Nice Guys,2016,7.4,70,259014,74.0
2936,Moonlight,2016,7.4,99,251598,74.0
2937,The Jungle Book,2016,7.4,77,250566,74.0
2938,Moana,2016,7.6,81,248144,76.0
2939,The Accountant,2016,7.3,51,247056,73.0
2940,Warcraft,2016,6.8,32,234687,68.0
2941,Now You See Me 2,2016,6.5,46,232663,65.0
2942,Manchester by the Sea,2016,7.8,96,230577,78.0
2943,Finding Dory,2016,7.3,77,227100,73.0
